Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent,ESG_Group,Current_Price,Market_Cap_API
Hexcel Corporation,HXL,Aerospace & Defense,0.031791,5316444630.0,4292411.0,-6.56,Medium ESG,97.70999908447266,7369990144.0
Highway Holdings Limited,HIHO,Industrial Machinery,0.9954,,,7.17,High ESG,0.7799999713897705,3624140.0
"Hillenbrand, Inc",HI,Industrial Machinery,0.185531,3298887643.0,124990.0,3.5,Medium ESG,,
Hirequest Inc,HQI,,0.0,,,-41.95,Low ESG,13.970000267028809,194745792.0
Hoku Corporation,HOKUQ,Electrical Components & Equipment,0.0,,,-66.67,Low ESG,1.9999999494757503e-05,1098.0
Howmet Aerospace Inc,HWM,Specialty Industrial Machinery,-0.634704,26624603913.0,1687707.0,48.86,Low ESG,264.6700134277344,105896452096.0
Hubbell Inc,HUBB,Electrical Components & Equipment,0.60535,21887842091.0,217542.0,79.23,High ESG,476.8900146484375,25199716352.0
Hudson Global Inc,HSON,Human Resource & Employment Services,0.0,,,-22.0,Low ESG,,
"Huntington Ingalls Industries, Inc",HII,Aerospace & Defense,0.328585,10944449514.0,202199.0,28.27,Medium ESG,297.67999267578125,11729790976.0
"Hurco Companies, Inc",HURC,Industrial Machinery,0.924067,,,-27.74,High ESG,21.600000381469727,139888560.0
Hyliion Holdings Corp,HYLN,Industrial Machinery,0.44033,272064437.0,762867.0,-6.01,High ESG,7.400000095367432,1319621504.0
"Hyster-Yale Materials Handling, Inc",HY,Industrial Machinery,0.0,1094100016.0,42109.0,35.64,Low ESG,37.18000030517578,666113216.0
IAA Inc,IAA,Specialized Consumer Services,0.360412,,,1.22,Medium ESG,,
"ICF International, Inc",ICFI,Research & Consulting Services,0.69715,,,30.38,High ESG,72.76000213623047,1317260160.0
IDEX Corporation,IEX,Industrial Machinery,0.33549,17902063816.0,110881.0,6.22,Medium ESG,218.49000549316406,16171549696.0
IES Holdings Inc,IESC,Construction & Engineering,0.7184,,,202.96,High ESG,749.8300170898438,14939529216.0
ITT Inc,ITT,Industrial Machinery,0.068561,10705840000.0,66304.0,55.97,Medium ESG,189.1300048828125,16991406080.0
Icahn Enterprises LP,IEP,Industrial Conglomerates,-0.192721,,,-66.83,Low ESG,7.389999866485596,4966453760.0
Illinois Tool Works Inc,ITW,Industrial Machinery,0.164457,77514696000.0,413727.0,11.66,Medium ESG,257.42999267578125,74062610432.0
"India Globalization Capital, Inc",IGC,,0.0,,,52.25,Low ESG,0.2800000011920929,28025570.0
Ingersoll Rand Inc,IR,Industrial Machinery,-0.045364,37567958923.0,551473.0,62.33,Low ESG,74.0,28958924800.0
"Innovative Solutions and Support, Inc",ISSC,Aerospace & Defense,0.6908,,,-8.74,High ESG,18.479999542236328,330657984.0
"Insperity, Inc",NSP,Human Resource & Employment Services,-0.532181,3895999333.0,104236.0,-14.08,Low ESG,36.599998474121094,1396992128.0
"JELD-WEN Holding, Inc",JELD,Building Products,-0.309258,1674675313.0,1360954.0,67.86,Low ESG,1.7699999809265137,152487840.0
Janone Inc,JAN,,-0.0574,,,207.61,Low ESG,25.729999542236328,5460497408.0
JetBlue Airways Corporation,JBLU,Airlines,-0.066067,,,-1.88,Low ESG,5.010000228881836,1863814656.0
Jewett-Cameron Trading Company Ltd,JCTCF,Building Products,0.0,,,-4.32,Low ESG,,
John Bean Technologies Corporation,JBT,Industrial Machinery,-0.089662,2996167487.0,120049.0,-10.3,Low ESG,,
Johnson Controls International plc,JCI,Building Products,0.342368,44415266473.0,2257341.0,12.55,Medium ESG,144.9600067138672,88442355712.0
"KAR Auction Services, Inc",KAR,Diversified Support Services,0.268575,1857843387.0,434915.0,28.94,Medium ESG,,
Kadant Inc,KAI,Industrial Machinery,0.6123,3440056088.0,50945.0,52.44,High ESG,282.45001220703125,3335300352.0
Kaman Corporation,KAMN,Trading Companies & Distributors,0.264722,1298715577.0,306719.0,106.06,Medium ESG,,
Kennametal Inc,KMT,Industrial Machinery,0.45947,1881468276.0,215981.0,-12.4,High ESG,34.97999954223633,2665829376.0
Kirby Corporation,KEX,Marine,0.052555,5817379410.0,134404.0,41.77,Medium ESG,143.4199981689453,7668954112.0
Knight-Swift Transportation Holdings Inc,KNX,Trucking,0.197625,8306469275.0,1541236.0,-6.74,Medium ESG,81.54000091552734,13249761280.0
Korn Ferry,KFY,Human Resource & Employment Services,0.362285,3284746045.0,153615.0,22.96,Medium ESG,73.22000122070312,3799172608.0
L3Harris Technologies Inc,LHX,Communications Equipment,0.254633,39049104162.0,662554.0,1.19,Medium ESG,307.7900085449219,57339723776.0
Lennox International Inc,LII,Building Products,0.649854,16627700166.0,128007.0,88.42,High ESG,512.1500244140625,17822803968.0
"Limbach Holdings, Inc",LMB,Construction & Engineering,-0.89255,,,122.7,Low ESG,79.08999633789062,942837120.0
Lindsay Corporation,LNN,Agricultural & Farm Machinery,0.324461,1264765664.0,58896.0,-10.98,Medium ESG,115.3499984741211,1205946112.0
Luxfer Holdings PLC,LXFR,Industrial Machinery,0.821673,,,-35.21,High ESG,18.079999923706055,488275840.0
