Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
"Beacon Roofing Supply, Inc",BECN,Trading Companies & Distributors,0.778167,,,
Beam Global,BEEM,Electrical Components & Equipment,0.71038,,,-54.0
Beijing Capital International Airport Company Limited,BJCHF,Airport Services,0.0,,,
Bloom Energy Corp,BE,Heavy Electrical Equipment,0.663849,2545570830.0,3531266.0,-40.5
Blue Bird Corporation,BLBD,Construction Machinery & Heavy Trucks,0.551376,,,87.47
BlueLinx Holdings Inc,BXC,Trading Companies & Distributors,0.437712,1044579555.0,27883.0,81.13
Brady Corporation,BRC,Commercial Printing,-0.166869,2839480854.0,129507.0,13.1
Briggs & Stratton Corporation,BGG,Industrial Machinery,0.0,,,
BrightView Holdings,BV,Environmental & Facilities Services,-0.061262,1089612000.0,402959.0,113.79
Broadwind Energy Inc,BWEN,Heavy Electrical Equipment,0.570582,,,-34.99
Brookfield Business Partners L.P,BBU,Construction & Engineering,-0.156614,4312801354.0,5630.0,
"Builders FirstSource, Inc",BLDR,Building Products,-0.595231,23076548169.0,1158285.0,
Bunzl plc,BZLFF,Trading Companies & Distributors,0.489478,,,
Bureau Veritas SA,BVRDF,Research & Consulting Services,0.552458,,,
"C.H. Robinson Worldwide, Inc",CHRW,Air Freight & Logistics,0.230875,,,
CAE Inc,CAE,Aerospace & Defense,0.406325,6260381876.0,379457.0,-18.76
"CAI International, Inc",CAI,Trading Companies & Distributors,-0.543772,,,
CBAK Energy Technology Inc,CBAT,Electronic Components,0.9371,,,-5.01
"CBIZ, Inc",CBZ,Research & Consulting Services,0.192565,3713998692.0,122390.0,45.77
CECO Environmental Corp,CECE,Environmental & Facilities Services,0.684263,,,
"CIRCOR International, Inc",CIR,Industrial Machinery,-0.411689,,,
CITIC Limited,CTPCF,Industrial Conglomerates,-0.0128,,,
CITIC Resources Holdings Limited,CTJHY,Trading Companies & Distributors,0.0,,,
CK Hutchison Holdings Limited,CKHUF,Industrial Conglomerates,-0.102667,,,
CLARCOR Inc,CLC,Industrial Machinery,-0.2263,,,
CLARIVATE PLC,CLVT,Research & Consulting Services,0.005737,4917190606.0,1827069.0,-16.8
CNH Industrial N.V,CNHI,Agricultural & Farm Machinery,-0.014005,16639119568.0,6643241.0,-10.27
"COSCO SHIPPING Development Co., Ltd",CITAF,Marine,0.0,,,
"COSCO SHIPPING Energy Transportation Co., Ltd",CSDXF,Marine,0.0,,,
"COSCO SHIPPING Holdings Co., Ltd",CICOF,Marine,0.2382,,,
"COSCO SHIPPING International (Hong Kong) Co., Ltd",CHDGF,Marine Ports & Services,0.0,,,
COSCO SHIPPING Ports Limited,CSPKF,Marine Ports & Services,0.57995,,,
"CPI Aerostructures, Inc",CVU,Aerospace & Defense,-0.641104,,,-18.61
"CRA International, Inc",CRAI,Research & Consulting Services,0.946,,,
"CSW Industrials, Inc",CSWI,Building Products,0.681556,,,71.98
CSX Corporation,CSX,Railroads,0.214365,,,
Caesarstone Ltd,CSTE,Building Products,0.908897,,,
Canadian Pacific Railway Limited,CP,Railroads,-0.384278,82082770000.0,891167.0,12.39
Cargotec Corporation,CYJBF,Industrial Machinery,0.250752,,,
Carlisle Companies Incorporated,CSL,Industrial Conglomerates,0.741109,18337629651.0,135315.0,80.72
Carrier Global Corporation,CARR,Building Products & Equipment,0.57703,51045045151.0,1659497.0,28.59
"Casella Waste Systems, Inc",CWST,Environmental & Facilities Services,0.035215,,,
Castor Maritime Inc,CTRM,,-0.041933,,,376.32
Caterpillar Inc,CAT,Construction Machinery & Heavy Trucks,-0.217641,184797000000.0,1281375.0,
Cathay Pacific Airways Limited,CPCAF,Airlines,-0.486781,,,
Celadon Group Inc,CGIP,Trucking,-0.527,,,-100.0
ChargePoint Holdings Inc,CHPT,Electrical Components & Equipment,-0.561269,700659991.0,10997954.0,-81.39
"Chart Industries, Inc",GTLS,Industrial Machinery,0.487393,6641641988.0,236237.0,
Chen Hsong Holdings Limited,CHHGF,Industrial Machinery,0.9501,,,
Chicago Rivet & Machine Co,CVR,Industrial Machinery,0.0,,,-47.39
China Aircraft Leasing Group Holdings Limited,CFRLF,Trading Companies & Distributors,0.7783,,,
China Eastern Airlines Corporation Limited,CEA,Airlines,0.9062,,,
China Everbright International Limited,CHFFF,Environmental & Facilities Services,1.2e-05,,,
"China High Speed Transmission Equipment Group Co., Ltd",CHSTF,Heavy Electrical Equipment,0.6249,,,5.36
